id,task,response,guessing,guessing_text,strategy,strategy_text,rt
participant_1,south-west_north,south-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,23105
participant_1,north-east_north-east,south-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,4812
participant_1,north-east_south-west,north-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,6690
participant_1,south_west,north-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,3690
participant_1,north-west_north-east,south-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,4723
participant_1,west_west,north-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,4288
participant_1,south-east_north,north-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,4456
participant_1,south-west_south,north-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,4739
participant_1,east_north-west,south,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,6746
participant_1,east_north-east,south-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,7294
participant_1,south-east_south,north-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,5470
participant_1,south_south,north,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,5193
participant_1,north-west_north-west,north,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,6456
participant_1,east_south-west,south-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,7132
participant_1,west_south,south-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,6167
participant_1,south-east_west,north-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,3884
participant_1,north_north-west,south-west,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,6772
participant_1,east_south-east,south-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,5492
participant_1,south-west_east,south-east,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,10527
participant_1,south_north,south,yes,despite trying to work each one out I did not have a clue so gave my best estimate on each one,verbal,,8690
