id,task,response,rt,counterfactual,content
participant_1,AC,positive,7545,False,"{""premise"": ""If Joe cuts his finger, then it bleeds"", ""p"": ""Joe cut his finger"", ""q"": ""His finger bleeds"", ""not_p"": ""Joe did not cut his finger"", ""not_q"": ""His finger does not bleed"", ""item"": ""conditional_4""}"
participant_1,MP,positive,4085,False,"{""premise"": ""If Sara steps on a banana peel, then she slips"", ""p"": ""Sara stepped on a banana peel"", ""q"": ""Sara slipped"", ""not_p"": ""Sara did not step on a banana peel"", ""not_q"": ""Sara did not slip"", ""item"": ""conditional_1""}"
participant_1,MT,negative,6918,False,"{""premise"": ""If the tiger is hungry, then it will search for prey"", ""p"": ""The tiger is hungry"", ""q"": ""The tiger searches for prey"", ""not_p"": ""The tiger is not hungry"", ""not_q"": ""The tiger does not search for prey"", ""item"": ""conditional_2""}"
participant_1,DA,negative,4429,False,"{""premise"": ""If Patrick turns on the air conditioner, then he feels cool"", ""p"": ""Patrick turned on the air conditioner"", ""q"": ""Patrick feels cool"", ""not_p"": ""Patrick did not turn on the air conditioner"", ""not_q"": ""Patrick does not feel cool"", ""item"": ""conditional_3""}"
participant_1,MT,negative,5947,True,"{""premise"": ""If the burglar had been caught, then he would have been prosecuted"", ""p"": ""The burglar was caught"", ""q"": ""The burglar was prosecuted"", ""not_p"": ""The burglar was not caught"", ""not_q"": ""The burglar was not prosecuted"", ""item"": ""counterfactual_3""}"
participant_1,MP,positive,5685,True,"{""premise"": ""If John had worn a seat belt, his injuries would have been negligible"", ""p"": ""John wore a seatbelt"", ""q"": ""John's injuries were negligible"", ""not_p"": ""John did not wear a seatbelt"", ""not_q"": ""John's injuries were not negligible"", ""item"": ""counterfactual_1""}"
participant_1,DA,negative,7556,True,"{""premise"": ""If Daniel and Nico had been finished packing Monday night, then they would have departed Tuesday morning"", ""p"": ""Daniel and Nico finished packing Monday night"", ""q"": ""Daniel and Nico departed Tuesday morning"", ""not_p"": ""Daniel and Nico did not finish packing Monday night"", ""not_q"": ""Daniel and Nico did not depart Tuesday morning"", ""item"": ""counterfactual_4""}"
participant_1,AC,positive,7823,True,"{""premise"": ""If Lisa had had an essay to write, she would have studied late in the library"", ""p"": ""Lisa had an essay to write"", ""q"": ""Lisa studied late in the library"", ""not_p"": ""Lisa did not have an essay to write"", ""not_q"": ""Lisa did not study late in the library"", ""item"": ""counterfactual_2""}"
participant_10,DA,negative,8147,False,"{""premise"": ""If Patrick turns on the air conditioner, then he feels cool"", ""p"": ""Patrick turned on the air conditioner"", ""q"": ""Patrick feels cool"", ""not_p"": ""Patrick did not turn on the air conditioner"", ""not_q"": ""Patrick does not feel cool"", ""item"": ""conditional_3""}"
participant_10,MP,positive,6494,False,"{""premise"": ""If Joe cuts his finger, then it bleeds"", ""p"": ""Joe cut his finger"", ""q"": ""His finger bleeds"", ""not_p"": ""Joe did not cut his finger"", ""not_q"": ""His finger does not bleed"", ""item"": ""conditional_4""}"
participant_10,MT,nvc,10227,False,"{""premise"": ""If the tiger is hungry, then it will search for prey"", ""p"": ""The tiger is hungry"", ""q"": ""The tiger searches for prey"", ""not_p"": ""The tiger is not hungry"", ""not_q"": ""The tiger does not search for prey"", ""item"": ""conditional_2""}"
participant_10,AC,nvc,8126,False,"{""premise"": ""If Sara steps on a banana peel, then she slips"", ""p"": ""Sara stepped on a banana peel"", ""q"": ""Sara slipped"", ""not_p"": ""Sara did not step on a banana peel"", ""not_q"": ""Sara did not slip"", ""item"": ""conditional_1""}"
participant_10,AC,positive,11268,True,"{""premise"": ""If Daniel and Nico had been finished packing Monday night, then they would have departed Tuesday morning"", ""p"": ""Daniel and Nico finished packing Monday night"", ""q"": ""Daniel and Nico departed Tuesday morning"", ""not_p"": ""Daniel and Nico did not finish packing Monday night"", ""not_q"": ""Daniel and Nico did not depart Tuesday morning"", ""item"": ""counterfactual_4""}"
participant_10,DA,negative,14670,True,"{""premise"": ""If Lisa had had an essay to write, she would have studied late in the library"", ""p"": ""Lisa had an essay to write"", ""q"": ""Lisa studied late in the library"", ""not_p"": ""Lisa did not have an essay to write"", ""not_q"": ""Lisa did not study late in the library"", ""item"": ""counterfactual_2""}"
participant_10,MT,negative,10844,True,"{""premise"": ""If the burglar had been caught, then he would have been prosecuted"", ""p"": ""The burglar was caught"", ""q"": ""The burglar was prosecuted"", ""not_p"": ""The burglar was not caught"", ""not_q"": ""The burglar was not prosecuted"", ""item"": ""counterfactual_3""}"
participant_10,MP,positive,6713,True,"{""premise"": ""If John had worn a seat belt, his injuries would have been negligible"", ""p"": ""John wore a seatbelt"", ""q"": ""John's injuries were negligible"", ""not_p"": ""John did not wear a seatbelt"", ""not_q"": ""John's injuries were not negligible"", ""item"": ""counterfactual_1""}"
participant_100,MP,positive,7237,True,"{""premise"": ""If the burglar had been caught, then he would have been prosecuted"", ""p"": ""The burglar was caught"", ""q"": ""The burglar was prosecuted"", ""not_p"": ""The burglar was not caught"", ""not_q"": ""The burglar was not prosecuted"", ""item"": ""counterfactual_3""}"
participant_100,MT,negative,12880,True,"{""premise"": ""If Daniel and Nico had been finished packing Monday night, then they would have departed Tuesday morning"", ""p"": ""Daniel and Nico finished packing Monday night"", ""q"": ""Daniel and Nico departed Tuesday morning"", ""not_p"": ""Daniel and Nico did not finish packing Monday night"", ""not_q"": ""Daniel and Nico did not depart Tuesday morning"", ""item"": ""counterfactual_4""}"
participant_100,AC,positive,9148,True,"{""premise"": ""If John had worn a seat belt, his injuries would have been negligible"", ""p"": ""John wore a seatbelt"", ""q"": ""John's injuries were negligible"", ""not_p"": ""John did not wear a seatbelt"", ""not_q"": ""John's injuries were not negligible"", ""item"": ""counterfactual_1""}"
participant_100,DA,negative,9534,True,"{""premise"": ""If Lisa had had an essay to write, she would have studied late in the library"", ""p"": ""Lisa had an essay to write"", ""q"": ""Lisa studied late in the library"", ""not_p"": ""Lisa did not have an essay to write"", ""not_q"": ""Lisa did not study late in the library"", ""item"": ""counterfactual_2""}"
participant_100,AC,positive,7473,False,"{""premise"": ""If the tiger is hungry, then it will search for prey"", ""p"": ""The tiger is hungry"", ""q"": ""The tiger searches for prey"", ""not_p"": ""The tiger is not hungry"", ""not_q"": ""The tiger does not search for prey"", ""item"": ""conditional_2""}"
participant_100,MT,negative,25016,False,"{""premise"": ""If Joe cuts his finger, then it bleeds"", ""p"": ""Joe cut his finger"", ""q"": ""His finger bleeds"", ""not_p"": ""Joe did not cut his finger"", ""not_q"": ""His finger does not bleed"", ""item"": ""conditional_4""}"
participant_100,DA,negative,7557,False,"{""premise"": ""If Sara steps on a banana peel, then she slips"", ""p"": ""Sara stepped on a banana peel"", ""q"": ""Sara slipped"", ""not_p"": ""Sara did not step on a banana peel"", ""not_q"": ""Sara did not slip"", ""item"": ""conditional_1""}"
participant_100,MP,positive,17388,False,"{""premise"": ""If Patrick turns on the air conditioner, then he feels cool"", ""p"": ""Patrick turned on the air conditioner"", ""q"": ""Patrick feels cool"", ""not_p"": ""Patrick did not turn on the air conditioner"", ""not_q"": ""Patrick does not feel cool"", ""item"": ""conditional_3""}"
participant_101,MT,nvc,86623,True,"{""premise"": ""If Daniel and Nico had been finished packing Monday night, then they would have departed Tuesday morning"", ""p"": ""Daniel and Nico finished packing Monday night"", ""q"": ""Daniel and Nico departed Tuesday morning"", ""not_p"": ""Daniel and Nico did not finish packing Monday night"", ""not_q"": ""Daniel and Nico did not depart Tuesday morning"", ""item"": ""counterfactual_4""}"
participant_101,DA,negative,19732,True,"{""premise"": ""If John had worn a seat belt, his injuries would have been negligible"", ""p"": ""John wore a seatbelt"", ""q"": ""John's injuries were negligible"", ""not_p"": ""John did not wear a seatbelt"", ""not_q"": ""John's injuries were not negligible"", ""item"": ""counterfactual_1""}"
participant_101,MP,positive,20363,True,"{""premise"": ""If Lisa had had an essay to write, she would have studied late in the library"", ""p"": ""Lisa had an essay to write"", ""q"": ""Lisa studied late in the library"", ""not_p"": ""Lisa did not have an essay to write"", ""not_q"": ""Lisa did not study late in the library"", ""item"": ""counterfactual_2""}"
participant_101,AC,positive,7628,True,"{""premise"": ""If the burglar had been caught, then he would have been prosecuted"", ""p"": ""The burglar was caught"", ""q"": ""The burglar was prosecuted"", ""not_p"": ""The burglar was not caught"", ""not_q"": ""The burglar was not prosecuted"", ""item"": ""counterfactual_3""}"
participant_101,MT,nvc,4349,False,"{""premise"": ""If Sara steps on a banana peel, then she slips"", ""p"": ""Sara stepped on a banana peel"", ""q"": ""Sara slipped"", ""not_p"": ""Sara did not step on a banana peel"", ""not_q"": ""Sara did not slip"", ""item"": ""conditional_1""}"
participant_101,AC,positive,5576,False,"{""premise"": ""If Joe cuts his finger, then it bleeds"", ""p"": ""Joe cut his finger"", ""q"": ""His finger bleeds"", ""not_p"": ""Joe did not cut his finger"", ""not_q"": ""His finger does not bleed"", ""item"": ""conditional_4""}"
participant_101,MP,positive,8185,False,"{""premise"": ""If Patrick turns on the air conditioner, then he feels cool"", ""p"": ""Patrick turned on the air conditioner"", ""q"": ""Patrick feels cool"", ""not_p"": ""Patrick did not turn on the air conditioner"", ""not_q"": ""Patrick does not feel cool"", ""item"": ""conditional_3""}"
participant_101,DA,nvc,25464,False,"{""premise"": ""If the tiger is hungry, then it will search for prey"", ""p"": ""The tiger is hungry"", ""q"": ""The tiger searches for prey"", ""not_p"": ""The tiger is not hungry"", ""not_q"": ""The tiger does not search for prey"", ""item"": ""conditional_2""}"
participant_102,AC,positive,18847,False,"{""premise"": ""If Joe cuts his finger, then it bleeds"", ""p"": ""Joe cut his finger"", ""q"": ""His finger bleeds"", ""not_p"": ""Joe did not cut his finger"", ""not_q"": ""His finger does not bleed"", ""item"": ""conditional_4""}"
participant_102,MT,negative,7018,False,"{""premise"": ""If Sara steps on a banana peel, then she slips"", ""p"": ""Sara stepped on a banana peel"", ""q"": ""Sara slipped"", ""not_p"": ""Sara did not step on a banana peel"", ""not_q"": ""Sara did not slip"", ""item"": ""conditional_1""}"
participant_102,DA,negative,10208,False,"{""premise"": ""If Patrick turns on the air conditioner, then he feels cool"", ""p"": ""Patrick turned on the air conditioner"", ""q"": ""Patrick feels cool"", ""not_p"": ""Patrick did not turn on the air conditioner"", ""not_q"": ""Patrick does not feel cool"", ""item"": ""conditional_3""}"
participant_102,MP,positive,7069,False,"{""premise"": ""If the tiger is hungry, then it will search for prey"", ""p"": ""The tiger is hungry"", ""q"": ""The tiger searches for prey"", ""not_p"": ""The tiger is not hungry"", ""not_q"": ""The tiger does not search for prey"", ""item"": ""conditional_2""}"
participant_102,MT,negative,7311,True,"{""premise"": ""If the burglar had been caught, then he would have been prosecuted"", ""p"": ""The burglar was caught"", ""q"": ""The burglar was prosecuted"", ""not_p"": ""The burglar was not caught"", ""not_q"": ""The burglar was not prosecuted"", ""item"": ""counterfactual_3""}"
participant_102,AC,positive,7725,True,"{""premise"": ""If John had worn a seat belt, his injuries would have been negligible"", ""p"": ""John wore a seatbelt"", ""q"": ""John's injuries were negligible"", ""not_p"": ""John did not wear a seatbelt"", ""not_q"": ""John's injuries were not negligible"", ""item"": ""counterfactual_1""}"
participant_102,MP,positive,12177,True,"{""premise"": ""If Daniel and Nico had been finished packing Monday night, then they would have departed Tuesday morning"", ""p"": ""Daniel and Nico finished packing Monday night"", ""q"": ""Daniel and Nico departed Tuesday morning"", ""not_p"": ""Daniel and Nico did not finish packing Monday night"", ""not_q"": ""Daniel and Nico did not depart Tuesday morning"", ""item"": ""counterfactual_4""}"
participant_102,DA,negative,10483,True,"{""premise"": ""If Lisa had had an essay to write, she would have studied late in the library"", ""p"": ""Lisa had an essay to write"", ""q"": ""Lisa studied late in the library"", ""not_p"": ""Lisa did not have an essay to write"", ""not_q"": ""Lisa did not study late in the library"", ""item"": ""counterfactual_2""}"
participant_103,MT,negative,30852,True,"{""premise"": ""If John had worn a seat belt, his injuries would have been negligible"", ""p"": ""John wore a seatbelt"", ""q"": ""John's injuries were negligible"", ""not_p"": ""John did not wear a seatbelt"", ""not_q"": ""John's injuries were not negligible"", ""item"": ""counterfactual_1""}"
participant_103,MP,positive,35686,True,"{""premise"": ""If Daniel and Nico had been finished packing Monday night, then they would have departed Tuesday morning"", ""p"": ""Daniel and Nico finished packing Monday night"", ""q"": ""Daniel and Nico departed Tuesday morning"", ""not_p"": ""Daniel and Nico did not finish packing Monday night"", ""not_q"": ""Daniel and Nico did not depart Tuesday morning"", ""item"": ""counterfactual_4""}"
participant_103,AC,nvc,22420,True,"{""premise"": ""If the burglar had been caught, then he would have been prosecuted"", ""p"": ""The burglar was caught"", ""q"": ""The burglar was prosecuted"", ""not_p"": ""The burglar was not caught"", ""not_q"": ""The burglar was not prosecuted"", ""item"": ""counterfactual_3""}"
participant_103,DA,nvc,20033,True,"{""premise"": ""If Lisa had had an essay to write, she would have studied late in the library"", ""p"": ""Lisa had an essay to write"", ""q"": ""Lisa studied late in the library"", ""not_p"": ""Lisa did not have an essay to write"", ""not_q"": ""Lisa did not study late in the library"", ""item"": ""counterfactual_2""}"
participant_103,DA,positive,40328,False,"{""premise"": ""If Joe cuts his finger, then it bleeds"", ""p"": ""Joe cut his finger"", ""q"": ""His finger bleeds"", ""not_p"": ""Joe did not cut his finger"", ""not_q"": ""His finger does not bleed"", ""item"": ""conditional_4""}"
participant_103,MT,negative,30638,False,"{""premise"": ""If Sara steps on a banana peel, then she slips"", ""p"": ""Sara stepped on a banana peel"", ""q"": ""Sara slipped"", ""not_p"": ""Sara did not step on a banana peel"", ""not_q"": ""Sara did not slip"", ""item"": ""conditional_1""}"
participant_103,AC,positive,22350,False,"{""premise"": ""If the tiger is hungry, then it will search for prey"", ""p"": ""The tiger is hungry"", ""q"": ""The tiger searches for prey"", ""not_p"": ""The tiger is not hungry"", ""not_q"": ""The tiger does not search for prey"", ""item"": ""conditional_2""}"
participant_103,MP,positive,7320,False,"{""premise"": ""If Patrick turns on the air conditioner, then he feels cool"", ""p"": ""Patrick turned on the air conditioner"", ""q"": ""Patrick feels cool"", ""not_p"": ""Patrick did not turn on the air conditioner"", ""not_q"": ""Patrick does not feel cool"", ""item"": ""conditional_3""}"
participant_104,DA,negative,7352,False,"{""premise"": ""If Patrick turns on the air conditioner, then he feels cool"", ""p"": ""Patrick turned on the air conditioner"", ""q"": ""Patrick feels cool"", ""not_p"": ""Patrick did not turn on the air conditioner"", ""not_q"": ""Patrick does not feel cool"", ""item"": ""conditional_3""}"
participant_104,MT,negative,7674,False,"{""premise"": ""If Joe cuts his finger, then it bleeds"", ""p"": ""Joe cut his finger"", ""q"": ""His finger bleeds"", ""not_p"": ""Joe did not cut his finger"", ""not_q"": ""His finger does not bleed"", ""item"": ""conditional_4""}"
participant_104,MP,positive,10862,False,"{""premise"": ""If the tiger is hungry, then it will search for prey"", ""p"": ""The tiger is hungry"", ""q"": ""The tiger searches for prey"", ""not_p"": ""The tiger is not hungry"", ""not_q"": ""The tiger does not search for prey"", ""item"": ""conditional_2""}"
participant_104,MT,negative,21954,True,"{""premise"": ""If Lisa had had an essay to write, she would have studied late in the library"", ""p"": ""Lisa had an essay to write"", ""q"": ""Lisa studied late in the library"", ""not_p"": ""Lisa did not have an essay to write"", ""not_q"": ""Lisa did not study late in the library"", ""item"": ""counterfactual_2""}"
participant_104,MP,positive,25763,True,"{""premise"": ""If Daniel and Nico had been finished packing Monday night, then they would have departed Tuesday morning"", ""p"": ""Daniel and Nico finished packing Monday night"", ""q"": ""Daniel and Nico departed Tuesday morning"", ""not_p"": ""Daniel and Nico did not finish packing Monday night"", ""not_q"": ""Daniel and Nico did not depart Tuesday morning"", ""item"": ""counterfactual_4""}"
