id,rt,NFC1,NFC2,NFC3,NFC4,NFC
participant_1,20850,6,2,2,5,3.75
participant_10,47340,2,5,5,2,3.5
participant_100,58175,5,3,5,2,3.75
participant_101,25633,3,5,6,6,5.0
participant_102,45942,3,4,5,2,3.5
participant_103,45990,4,5,4,6,4.75
participant_104,36033,5,2,5,7,4.75
participant_105,44887,7,6,2,6,5.25
participant_106,185960,3,2,6,7,4.5
participant_107,49645,4,6,5,5,5.0
participant_108,187997,1,7,7,7,5.5
participant_109,19264,5,4,4,5,4.5
participant_11,21943,3,4,4,4,3.75
participant_110,30848,5,3,5,2,3.75
participant_111,36389,4,5,4,6,4.75
participant_113,28836,5,3,5,5,4.5
participant_114,77666,1,4,3,1,2.25
participant_115,62661,2,6,1,7,4.0
participant_12,37127,3,4,4,2,3.25
participant_13,39068,1,6,6,1,3.5
participant_14,32071,1,1,2,4,2.0
participant_15,32071,1,1,2,4,2.0
participant_16,22094,4,4,4,3,3.75
participant_17,29705,5,4,3,4,4.0
participant_18,22595,2,6,5,2,3.75
participant_19,10238,5,3,4,4,4.0
participant_2,11838,5,4,3,4,4.0
participant_20,27904,2,5,5,1,3.25
participant_21,27344,2,3,5,3,3.25
participant_22,33499,3,4,2,3,3.0
participant_23,25659,2,6,6,2,4.0
participant_24,22220,1,6,6,1,3.5
participant_25,19751,5,3,3,2,3.25
participant_26,25325,2,3,2,1,2.0
participant_27,22858,1,5,5,2,3.25
participant_28,22726,6,5,4,4,4.75
participant_29,45933,3,4,2,4,3.25
participant_3,21621,2,5,5,3,3.75
participant_30,118022,6,6,6,6,6.0
participant_31,23540,5,5,5,5,5.0
participant_32,23632,5,3,2,5,3.75
participant_33,30924,1,5,4,7,4.25
participant_34,19129,3,3,3,2,2.75
participant_35,16320,2,3,4,3,3.0
participant_36,87955,6,5,3,3,4.25
participant_37,23818,1,5,7,4,4.25
participant_38,27705,3,4,5,3,3.75
participant_39,22596,5,4,6,5,5.0
participant_4,36121,5,4,3,4,4.0
participant_40,21822,2,6,5,1,3.5
participant_41,273981,5,3,2,5,3.75
participant_42,34712,2,4,4,4,3.5
participant_43,48461,2,6,5,3,4.0
participant_44,31748,2,5,4,3,3.5
participant_45,25330,5,4,5,4,4.5
participant_46,10468,2,5,6,3,4.0
participant_47,21875,2,4,5,4,3.75
participant_48,21249,1,5,5,2,3.25
participant_49,33820,3,6,4,3,4.0
participant_5,25160,4,5,4,3,4.0
participant_50,22963,3,6,4,4,4.25
participant_51,32222,3,5,2,6,4.0
participant_52,28971,3,6,4,5,4.5
participant_53,15520,3,5,6,4,4.5
participant_54,107926,2,1,5,7,3.75
participant_55,65594,1,5,2,7,3.75
participant_56,30083,6,5,5,5,5.25
participant_57,71234,2,6,4,1,3.25
participant_58,33820,3,6,4,3,4.0
participant_59,33759,2,7,4,2,3.75
participant_6,24410,1,4,3,4,3.0
participant_60,39040,2,3,4,1,2.5
participant_61,63197,3,4,5,5,4.25
participant_62,21770,5,3,3,2,3.25
participant_63,34912,3,5,4,5,4.25
participant_64,43289,3,5,3,3,3.5
participant_65,227763,2,6,5,2,3.75
participant_66,29941,4,3,4,4,3.75
participant_67,29643,3,1,4,2,2.5
participant_68,36788,5,3,2,4,3.5
participant_69,23688,2,6,6,6,5.0
participant_7,32127,4,4,4,1,3.25
participant_70,20858,6,5,5,3,4.75
participant_71,21804,3,7,7,2,4.75
participant_72,19982,2,6,6,6,5.0
participant_73,35789,6,4,5,6,5.25
participant_74,49187,4,5,5,4,4.5
participant_75,21592,3,4,4,3,3.5
participant_76,92898,2,5,5,1,3.25
participant_77,40555,2,5,2,1,2.5
participant_78,24696,5,5,4,6,5.0
participant_79,51959,6,2,2,5,3.75
participant_8,19113,3,2,3,1,2.25
participant_80,86330,2,6,6,6,5.0
participant_81,65761,1,5,2,4,3.0
participant_82,46624,1,5,4,2,3.0
participant_83,22884,1,6,7,2,4.0
participant_84,22467,2,5,3,3,3.25
participant_85,24839,3,1,2,5,2.75
participant_86,37540,2,4,5,2,3.25
participant_87,15954,4,3,3,4,3.5
participant_88,77666,1,4,3,1,2.25
participant_89,32604,3,6,6,6,5.25
participant_9,17716,4,2,3,3,3.0
participant_90,85034,1,6,5,2,3.5
participant_91,11892,1,6,6,6,4.75
participant_92,66085,4,4,3,4,3.75
participant_93,10250,5,5,4,4,4.5
participant_94,28183,5,4,4,5,4.5
participant_95,28249,5,6,5,5,5.25
participant_96,24817,3,6,6,3,4.5
participant_97,72239,2,3,4,2,2.75
participant_98,94641,5,4,5,4,4.5
participant_99,29501,2,5,4,3,3.5
