id,task,response,response_model,presented_model,changed_model,valid,continuous,indeterminate,correct,premise_rt,sort_rt,rt,task_prefix,correct_sorting,pmm_sorting,pmm_model
participant_1,task3_pmm,True,"[""E"", ""D"", ""C"", ""B"", ""A""]","[""E"", ""D"", ""C"", ""B"", ""A""]",False,True,True,False,True,26508,2617,5206,task3,True,True,"[""E"", ""D"", ""C"", ""B"", ""A""]"
participant_1,task2_far,False,"[""C"", ""D"", ""A"", ""E"", ""B""]","[""C"", ""D"", ""A"", ""B"", ""E""]",True,False,False,True,True,4863,2090,3504,task2,False,False,"[""E"", ""D"", ""A"", ""B"", ""C""]"
participant_1,task1_far,False,"[""A"", ""D"", ""C"", ""E"", ""B""]","[""A"", ""D"", ""C"", ""B"", ""E""]",True,False,True,True,True,5354,1755,3538,task1,False,False,"[""A"", ""B"", ""C"", ""D"", ""E""]"
participant_1,task3_far,False,"[""E"", ""D"", ""A"", ""C"", ""B""]","[""A"", ""D"", ""C"", ""B"", ""E""]",True,False,True,False,True,10593,3520,3077,task3,False,False,"[""E"", ""D"", ""C"", ""B"", ""A""]"
participant_1,task4_near,False,"[""C"", ""E"", ""D"", ""B"", ""A""]","[""E"", ""C"", ""D"", ""B"", ""A""]",True,False,False,False,True,10226,2907,2061,task4,False,False,"[""E"", ""D"", ""C"", ""B"", ""A""]"
participant_1,task1_amm1,False,"[""C"", ""E"", ""B"", ""A"", ""D""]","[""E"", ""C"", ""D"", ""B"", ""A""]",True,True,True,True,False,13301,3400,2432,task1,False,False,"[""A"", ""B"", ""C"", ""D"", ""E""]"
participant_1,task4_inv_pmm,True,"[""A"", ""B"", ""C"", ""D"", ""E""]","[""A"", ""B"", ""C"", ""D"", ""E""]",False,True,False,False,True,17211,872,2692,task4_inv,True,True,"[""A"", ""B"", ""C"", ""D"", ""E""]"
participant_1,task2_near,True,"[""E"", ""D"", ""B"", ""A"", ""C""]","[""E"", ""D"", ""B"", ""A"", ""C""]",False,False,False,True,False,10185,876,1580,task2,False,False,"[""E"", ""D"", ""A"", ""B"", ""C""]"
participant_1,task4_pmm,False,"[""D"", ""E"", ""C"", ""A"", ""B""]","[""E"", ""D"", ""C"", ""B"", ""A""]",True,True,False,False,False,13950,4206,2047,task4,False,False,"[""E"", ""D"", ""C"", ""B"", ""A""]"
participant_1,task4_inv_near,False,"[""C"", ""B"", ""D"", ""E"", ""A""]","[""A"", ""B"", ""D"", ""C"", ""E""]",True,False,False,False,True,21733,5000,3170,task4_inv,False,False,"[""A"", ""B"", ""C"", ""D"", ""E""]"
