id,task,response,memorize_prem,valid,continuous,indeterminate,correct,solution,p1_rt,p2_rt,p3_rt,p4_rt,rt,full_info
participant_1,task_indet_2_left,no,False,False,True,True,False,nvc,-1,-1,-1,-1,20562,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""B"", ""C""], ""premise3"": [""right"", ""D"", ""B""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_indet_2_left"", ""task_ref"": ""pmm_spatial_sort_1"", ""question"": {""question_name"": ""left_E_C"", ""form"": [""left"", ""E"", ""C""]}, ""continuous"": true, ""correct"": ""nvc""}"
participant_1,task_det_2_right,no,True,True,False,False,True,no,-1,-1,-1,-1,7838,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""B""], ""premise3"": [""right"", ""D"", ""A""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_2_right"", ""task_ref"": ""task_13"", ""question"": {""question_name"": ""right_C_D"", ""form"": [""right"", ""C"", ""D""]}, ""continuous"": false, ""correct"": ""no""}"
participant_1,task_indet_3_right,yes,True,False,True,True,False,nvc,-1,-1,-1,-1,7315,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""A""], ""premise3"": [""right"", ""D"", ""A""], ""premise4"": [""left"", ""D"", ""E""], ""task"": ""task_indet_3_right"", ""task_ref"": ""task_31"", ""question"": {""question_name"": ""right_D_C"", ""form"": [""right"", ""D"", ""C""]}, ""continuous"": true, ""correct"": ""nvc""}"
participant_1,task_det_1_right,dontknow,True,True,True,False,False,no,-1,-1,-1,-1,5352,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""A""], ""premise3"": [""right"", ""D"", ""C""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_1_right"", ""task_ref"": ""task_2"", ""question"": {""question_name"": ""right_C_D"", ""form"": [""right"", ""C"", ""D""]}, ""continuous"": true, ""correct"": ""no""}"
participant_1,task_det_3_right,yes,True,True,False,False,True,yes,-1,-1,-1,-1,9385,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""B"", ""C""], ""premise3"": [""left"", ""D"", ""A""], ""premise4"": [""left"", ""E"", ""D""], ""task"": ""task_det_3_right"", ""task_ref"": ""task_9"", ""question"": {""question_name"": ""right_C_D"", ""form"": [""right"", ""C"", ""D""]}, ""continuous"": false, ""correct"": ""yes""}"
participant_1,task_indet_1_left,dontknow,True,False,True,True,False,nvc,-1,-1,-1,-1,3651,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""A""], ""premise3"": [""left"", ""D"", ""A""], ""premise4"": [""right"", ""D"", ""E""], ""task"": ""task_indet_1_left"", ""task_ref"": ""task_23"", ""question"": {""question_name"": ""left_D_C"", ""form"": [""left"", ""D"", ""C""]}, ""continuous"": true, ""correct"": ""nvc""}"
participant_1,task_det_4_left,dontknow,True,True,True,False,False,yes,-1,-1,-1,-1,1935,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""B""], ""premise3"": [""left"", ""C"", ""D""], ""premise4"": [""right"", ""E"", ""D""], ""task"": ""task_det_4_left"", ""task_ref"": ""task_15"", ""question"": {""question_name"": ""left_B_C"", ""form"": [""left"", ""B"", ""C""]}, ""continuous"": true, ""correct"": ""yes""}"
participant_1,task_det_3_between,dontknow,True,True,False,False,False,yes,-1,-1,-1,-1,4518,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""B"", ""C""], ""premise3"": [""left"", ""D"", ""A""], ""premise4"": [""left"", ""E"", ""D""], ""task"": ""task_det_3_between"", ""task_ref"": ""task_9"", ""question"": {""question_name"": ""between_E_A"", ""form"": [""between"", ""E"", ""A""]}, ""continuous"": false, ""correct"": ""yes""}"
participant_1,task_indet_3_nextto,dontknow,True,False,True,True,False,nvc,-1,-1,-1,-1,4367,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""right"", ""C"", ""A""], ""premise3"": [""right"", ""D"", ""A""], ""premise4"": [""left"", ""D"", ""E""], ""task"": ""task_indet_3_nextto"", ""task_ref"": ""task_31"", ""question"": {""question_name"": ""nextto_C_A"", ""form"": [""nextto"", ""C"", ""A""]}, ""continuous"": true, ""correct"": ""nvc""}"
participant_1,task_indet_4_between,yes,True,True,True,True,False,no,-1,-1,-1,-1,2634,"{""premise1"": [""right"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""B""], ""premise3"": [""left"", ""D"", ""C""], ""premise4"": [""left"", ""E"", ""C""], ""task"": ""task_indet_4_between"", ""task_ref"": ""task_30"", ""question"": {""question_name"": ""between_C_B"", ""form"": [""between"", ""C"", ""B""]}, ""continuous"": true, ""correct"": ""no""}"
participant_1,task_indet_1_nextto,yes,True,True,True,True,True,yes,-1,-1,-1,-1,3150,"{""premise1"": [""left"", ""A"", ""B""], ""premise2"": [""left"", ""C"", ""A""], ""premise3"": [""left"", ""D"", ""A""], ""premise4"": [""right"", ""D"", ""E""], ""task"": ""task_indet_1_nextto"", ""task_ref"": ""task_23"", ""question"": {""question_name"": ""nextto_A_B"", ""form"": [""nextto"", ""A"", ""B""]}, ""continuous"": true, ""correct"": ""yes""}"
