id,seq,task,response,confidence,fol,interactions,correct,some_all,rt
participant_1,0,AA3,"[""Iac"", ""Ica""]",guessed,"[""NVC""]","[{""time"": 38285, ""option"": ""Iac"", ""state"": true}, {""time"": 40300, ""option"": ""Ica"", ""state"": true}]",0.0,False,43617
participant_1,1,AI1,"[""Oac""]",guessed,"[""NVC""]","[{""time"": 14947, ""option"": ""Oac"", ""state"": true}]",0.0,False,21783
participant_1,2,IO4,"[""nvc""]",guessed,"[""NVC""]","[{""time"": 19261, ""option"": ""nvc"", ""state"": true}]",0.0,False,20306
participant_1,3,AI4,"[""Iac"", ""Oac""]",guessed,"[""Ica"", ""Iac""]","[{""time"": 32876, ""option"": ""Iac"", ""state"": true}, {""time"": 44640, ""option"": ""Oac"", ""state"": true}]",0.3333333333333333,False,46928
participant_1,4,AO4,"[""nvc""]",guessed,"[""Oac""]","[{""time"": 31214, ""option"": ""nvc"", ""state"": true}]",0.0,False,32141
participant_1,5,OA2,"[""nvc""]",guessed,"[""NVC""]","[{""time"": 36584, ""option"": ""nvc"", ""state"": true}]",0.0,False,37365
participant_1,6,AA2,"[""nvc""]",guessed,"[""Ica"", ""Iac"", ""Aca""]","[{""time"": 32858, ""option"": ""nvc"", ""state"": true}, {""time"": 33766, ""option"": ""nvc"", ""state"": false}, {""time"": 34832, ""option"": ""nvc"", ""state"": true}]",0.0,False,35635
participant_1,7,IA2,"[""Iac"", ""Ica"", ""Oac"", ""Oca""]",confident,"[""NVC""]","[{""time"": 12384, ""option"": ""Iac"", ""state"": true}, {""time"": 15959, ""option"": ""Oac"", ""state"": true}, {""time"": 24049, ""option"": ""Ica"", ""state"": true}, {""time"": 26349, ""option"": ""Oca"", ""state"": true}]",0.0,False,28933
participant_1,8,OO3,"[""nvc""]",guessed,"[""NVC""]","[{""time"": 22986, ""option"": ""nvc"", ""state"": true}]",0.0,False,23950
participant_1,9,EI3,"[""Oac"", ""Oca""]",guessed,"[""Oca""]","[{""time"": 13381, ""option"": ""Oac"", ""state"": true}, {""time"": 17339, ""option"": ""Oca"", ""state"": true}]",0.5,False,18363
participant_1,10,AO3,"[""nvc""]",guessed,"[""Oca""]","[{""time"": 18961, ""option"": ""nvc"", ""state"": true}]",0.0,False,20115
participant_1,11,AI3,"[""nvc""]",guessed,"[""NVC""]","[{""time"": 14103, ""option"": ""nvc"", ""state"": true}, {""time"": 15105, ""option"": ""nvc"", ""state"": false}, {""time"": 16698, ""option"": ""nvc"", ""state"": true}]",0.0,False,17724
participant_1,12,OI2,"[""nvc""]",guessed,"[""NVC""]","[{""time"": 31284, ""option"": ""nvc"", ""state"": true}]",0.0,False,35446
participant_1,13,IO1,"[""nvc""]",guessed,"[""NVC""]","[{""time"": 80114, ""option"": ""nvc"", ""state"": true}]",0.0,False,81187
