id,task,response,final,rt,correct,pause_before,substitutions
participant_1,HVHCC,HVHLL,HVHLL,20515,True,0,"[{""rule"": ""C->L"", ""rt"": 7810}]"
participant_1,MLVMX,MVEXX,MMVMX,30266,False,16447,"[{""rule"": ""L->G"", ""rt"": 8647}, {""rule"": ""G->M"", ""rt"": 4490}]"
participant_1,RGGXQ,SGGSQ,SGGSQ,25654,True,4715,"[{""rule"": ""R->X"", ""rt"": 8951}, {""rule"": ""X->S"", ""rt"": 7904}]"
participant_1,ZZDDNR,XXDDZY,XXDDXY,28886,False,3305,"[{""rule"": ""N->Z"", ""rt"": 7471}, {""rule"": ""R->Y"", ""rt"": 5988}, {""rule"": ""Z->X"", ""rt"": 5162}]"
participant_1,WBRNGW,DDGBWW,DCCNGD,32329,False,20624,"[{""rule"": ""R->B"", ""rt"": 5587}, {""rule"": ""W->D"", ""rt"": 10014}, {""rule"": ""B->C"", ""rt"": 5335}]"
participant_1,KZYGWT,KZVVMT,KZMMVT,34620,False,3246,"[{""rule"": ""G->Y"", ""rt"": 13166}, {""rule"": ""W->V"", ""rt"": 7586}, {""rule"": ""Y->M"", ""rt"": 3362}]"
participant_1,HHMXDNZ,DCDMND,HHMXNNN,28548,False,2050,"[{""rule"": ""Z->C"", ""rt"": 7369}, {""rule"": ""C->D"", ""rt"": 4938}, {""rule"": ""D->N"", ""rt"": 3599}]"
participant_1,LGFCSBQ,BCCYLMS,LGFLSBL,25910,False,4909,"[{""rule"": ""Q->C"", ""rt"": 5227}, {""rule"": ""C->Y"", ""rt"": 4261}, {""rule"": ""Y->L"", ""rt"": 2744}]"
participant_10,SMQVCGL,GMQGCL,GMQGCGL,55498,False,583,"[{""rule"": ""V->S"", ""rt"": 9489}, {""rule"": ""S->K"", ""rt"": 6829}, {""rule"": ""K->G"", ""rt"": 10005}]"
participant_10,FMTHBLM,LTHLLM,LMTHLLM,48255,False,897,"[{""rule"": ""F->G"", ""rt"": 7440}, {""rule"": ""G->B"", ""rt"": 2827}, {""rule"": ""B->L"", ""rt"": 7245}]"
participant_10,LYXNFY,LNXNSN,LQXQSQ,60016,False,1285,"[{""rule"": ""N->Y"", ""rt"": 14763}, {""rule"": ""F->S"", ""rt"": 8043}, {""rule"": ""Y->Q"", ""rt"": 7426}]"
participant_10,GPLCRS,GPTWYX,GPLWYY,55339,False,789,"[{""rule"": ""R->S"", ""rt"": 27980}, {""rule"": ""C->W"", ""rt"": 4717}, {""rule"": ""S->Y"", ""rt"": 9165}]"
participant_10,TVQPP,RRQPP,RRQPP,30473,True,5586,"[{""rule"": ""T->V"", ""rt"": 11607}, {""rule"": ""V->R"", ""rt"": 4522}]"
participant_10,SLLYZ,SLLLZ,SLLLZ,54314,True,10474,"[{""rule"": ""Y->R"", ""rt"": 4505}, {""rule"": ""R->L"", ""rt"": 7183}]"
participant_10,LSSLK,LSSLW,LSSLW,35320,True,0,"[{""rule"": ""K->W"", ""rt"": 19803}]"
participant_10,RYJYRD,QYCYQJ,QYCYQC,84891,False,1687,"[{""rule"": ""D->J"", ""rt"": 5467}, {""rule"": ""R->Q"", ""rt"": 11214}, {""rule"": ""J->C"", ""rt"": 11621}]"
participant_100,MXMZZ,K,KXKZZ,17667,False,0,"[{""rule"": ""M->K"", ""rt"": 4762}]"
participant_100,DSRLR,DSRKR,DSLLL,26346,False,8059,"[{""rule"": ""R->K"", ""rt"": 2907}, {""rule"": ""K->L"", ""rt"": 2983}]"
participant_100,LPYPZ,LPRPZ,RPRPZ,19313,False,6338,"[{""rule"": ""L->Y"", ""rt"": 2565}, {""rule"": ""Y->R"", ""rt"": 3981}]"
participant_100,BJTXJT,BBTXPT,HHPXHP,28537,False,2676,"[{""rule"": ""J->B"", ""rt"": 3006}, {""rule"": ""T->P"", ""rt"": 1696}, {""rule"": ""B->H"", ""rt"": 2421}]"
participant_100,JCWTJD,JHWTPD,HHWVHD,22537,False,1367,"[{""rule"": ""J->C"", ""rt"": 2200}, {""rule"": ""T->V"", ""rt"": 941}, {""rule"": ""C->H"", ""rt"": 872}]"
participant_100,QWYTKH,QWYKKP,QWYCCP,27168,False,1529,"[{""rule"": ""T->K"", ""rt"": 2406}, {""rule"": ""H->P"", ""rt"": 1510}, {""rule"": ""K->C"", ""rt"": 1544}]"
participant_100,FYLQFVB,PYLBFVT,FBLBFVB,22201,False,1967,"[{""rule"": ""Y->P"", ""rt"": 1221}, {""rule"": ""P->Q"", ""rt"": 933}, {""rule"": ""Q->B"", ""rt"": 1027}]"
participant_100,ZRYXPWS,ZRYXDWS,ZRYXWWW,22130,False,1837,"[{""rule"": ""P->S"", ""rt"": 1918}, {""rule"": ""S->D"", ""rt"": 735}, {""rule"": ""D->W"", ""rt"": 842}]"
participant_101,QYTCRD,NYLQRD,NYLNRD,68966,False,1892,"[{""rule"": ""C->Q"", ""rt"": 6921}, {""rule"": ""T->L"", ""rt"": 4436}, {""rule"": ""Q->N"", ""rt"": 6769}]"
participant_101,FZDYXNG,FZDDXND,FZDDXND,118678,True,2411,"[{""rule"": ""Y->G"", ""rt"": 5505}, {""rule"": ""G->C"", ""rt"": 6057}, {""rule"": ""C->D"", ""rt"": 6702}]"
participant_101,NTJBQJF,NTJBFJJ,NTJBJJJ,100011,False,1944,"[{""rule"": ""Q->R"", ""rt"": 6392}, {""rule"": ""R->F"", ""rt"": 6142}, {""rule"": ""F->J"", ""rt"": 59705}]"
participant_101,LGGMSN,BQQBSN,BQQBSN,105703,True,11658,"[{""rule"": ""M->L"", ""rt"": 8031}, {""rule"": ""G->Q"", ""rt"": 4849}, {""rule"": ""L->B"", ""rt"": 4771}]"
participant_101,FJYFD,FJYFG,FJYFJ,30113,False,6223,"[{""rule"": ""D->G"", ""rt"": 3524}, {""rule"": ""G->J"", ""rt"": 6691}]"
participant_101,GFCRG,GPGRG,PPCRP,42897,False,1424,"[{""rule"": ""G->F"", ""rt"": 9720}, {""rule"": ""F->P"", ""rt"": 7297}]"
participant_101,YGJDGY,CCVDCC,CCVDCC,69509,True,1615,"[{""rule"": ""Y->G"", ""rt"": 6134}, {""rule"": ""J->V"", ""rt"": 7344}, {""rule"": ""G->C"", ""rt"": 6978}]"
participant_101,KKTWT,GGTWT,GGTWT,22328,True,0,"[{""rule"": ""K->G"", ""rt"": 5976}]"
participant_102,VLMKPBP,BLMKBVB,BLMKBBB,64989,False,1696,"[{""rule"": ""P->S"", ""rt"": 13487}, {""rule"": ""S->V"", ""rt"": 12295}, {""rule"": ""V->B"", ""rt"": 717}]"
participant_102,WVBGQL,WDDVZL,ZVDGDL,51240,False,2922,"[{""rule"": ""B->Q"", ""rt"": 14580}, {""rule"": ""W->Z"", ""rt"": 3502}, {""rule"": ""Q->D"", ""rt"": 826}]"
participant_102,VJJHCD,VMMMCT,VMMMCT,65359,True,2310,"[{""rule"": ""J->H"", ""rt"": 19205}, {""rule"": ""D->T"", ""rt"": 17119}, {""rule"": ""H->M"", ""rt"": 8245}]"
participant_102,BMWSJNF,VMQSJNF,FMFSJNF,50175,False,1930,"[{""rule"": ""B->W"", ""rt"": 16203}, {""rule"": ""W->Q"", ""rt"": 4740}, {""rule"": ""Q->F"", ""rt"": 4317}]"
participant_102,MBLLS,MLQQS,MQQQS,45159,False,6666,"[{""rule"": ""B->L"", ""rt"": 8907}, {""rule"": ""L->Q"", ""rt"": 6942}]"
participant_102,GPYKG,GPQKG,GPYYG,41219,False,6877,"[{""rule"": ""K->Q"", ""rt"": 6330}, {""rule"": ""Q->Y"", ""rt"": 8148}]"
participant_102,LFLKK,LTLLK,LTLKK,40286,False,0,"[{""rule"": ""F->T"", ""rt"": 12106}]"
participant_102,DXJJCX,WWBWCB,WWBBCW,109488,False,1902,"[{""rule"": ""X->D"", ""rt"": 36373}, {""rule"": ""J->B"", ""rt"": 8442}, {""rule"": ""D->W"", ""rt"": 22406}]"
participant_103,CCPYP,FFPYP,FFPYP,100291,True,0,"[{""rule"": ""C->F"", ""rt"": 36278}]"
participant_103,QQWDY,QQDDY,QQDDY,65243,True,6968,"[{""rule"": ""W->P"", ""rt"": 5669}, {""rule"": ""P->D"", ""rt"": 16486}]"
participant_103,MSXZX,MBXBX,BBXZX,63036,False,2017,"[{""rule"": ""M->S"", ""rt"": 16101}, {""rule"": ""S->B"", ""rt"": 24181}]"
participant_103,JRPPQR,VRQQQR,VRKKKR,46250,False,1785,"[{""rule"": ""P->Q"", ""rt"": 12801}, {""rule"": ""J->V"", ""rt"": 9269}, {""rule"": ""Q->K"", ""rt"": 7608}]"
participant_103,RDBRKT,RDZRKD,RNZRKN,46827,False,1779,"[{""rule"": ""T->D"", ""rt"": 11096}, {""rule"": ""B->Z"", ""rt"": 6624}, {""rule"": ""D->N"", ""rt"": 8293}]"
participant_103,VCKLDZ,NRKNDZ,NRKNDZ,71545,True,1125,"[{""rule"": ""L->V"", ""rt"": 15330}, {""rule"": ""C->R"", ""rt"": 3343}, {""rule"": ""V->N"", ""rt"": 16001}]"
participant_103,NFGRYVR,NRGRNVR,NNGRNVR,55374,False,1125,"[{""rule"": ""Y->P"", ""rt"": 14179}, {""rule"": ""P->F"", ""rt"": 4891}, {""rule"": ""F->N"", ""rt"": 11968}]"
participant_103,FCQJWMS,FMQJWMM,FMQJWMM,52297,True,1570,"[{""rule"": ""S->C"", ""rt"": 6954}, {""rule"": ""C->L"", ""rt"": 9240}, {""rule"": ""L->M"", ""rt"": 8327}]"
participant_104,BQXZWXY,XQXZWXX,XQXZWXX,68471,True,2668,"[{""rule"": ""B->L"", ""rt"": 14440}, {""rule"": ""L->Y"", ""rt"": 12099}, {""rule"": ""Y->X"", ""rt"": 17574}]"
participant_104,CXBMRYW,BXBMRBW,BXBMRBW,90979,True,2669,"[{""rule"": ""C->Y"", ""rt"": 13915}, {""rule"": ""Y->G"", ""rt"": 15911}, {""rule"": ""G->B"", ""rt"": 24889}]"
participant_104,ZRBGQQ,MRBCMM,MRBCMM,78261,True,1631,"[{""rule"": ""Z->Q"", ""rt"": 15306}, {""rule"": ""G->C"", ""rt"": 29281}, {""rule"": ""Q->M"", ""rt"": 12918}]"
participant_104,GLYHVW,JLYNJW,JLYNJW,88870,True,1376,"[{""rule"": ""G->V"", ""rt"": 24013}, {""rule"": ""H->N"", ""rt"": 18723}, {""rule"": ""V->J"", ""rt"": 21330}]"
participant_104,WYFNF,WYNNNWYJJJ,WYJJJ,78981,False,2641,"[{""rule"": ""F->N"", ""rt"": 11217}, {""rule"": ""N->J"", ""rt"": 36850}]"
participant_104,ZSCQCQ,ZQCQCQZQNQNQZWN,ZWNWNW,185317,False,5870,"[{""rule"": ""S->Q"", ""rt"": 25290}, {""rule"": ""C->N"", ""rt"": 25886}, {""rule"": ""Q->W"", ""rt"": 36299}]"
participant_104,KBLCB,KTLCT,KKLCK,68574,False,6035,"[{""rule"": ""B->T"", ""rt"": 5854}, {""rule"": ""T->K"", ""rt"": 21015}]"
participant_104,PRVVR,PRFFR,PRFFR,45091,True,0,"[{""rule"": ""V->F"", ""rt"": 29814}]"
participant_105,MLHXVLP,MLMVLP,MLMMVLP,39774,False,2249,"[{""rule"": ""X->F"", ""rt"": 6766}, {""rule"": ""F->H"", ""rt"": 4072}, {""rule"": ""H->M"", ""rt"": 5725}]"
participant_105,XDNJKY,MSNSKY,MSNSKY,41523,True,16418,"[{""rule"": ""D->J"", ""rt"": 5764}, {""rule"": ""X->M"", ""rt"": 6116}, {""rule"": ""J->S"", ""rt"": 10264}]"
participant_105,MKXNXT,MYXYXB,MYXYXB,48875,True,88643,"[{""rule"": ""N->K"", ""rt"": 9101}, {""rule"": ""T->B"", ""rt"": 6879}, {""rule"": ""K->Y"", ""rt"": 9139}]"
participant_105,FHJPRXT,FHJPRHH,FHJPRHH,42099,True,1816,"[{""rule"": ""T->X"", ""rt"": 6784}, {""rule"": ""X->G"", ""rt"": 4967}, {""rule"": ""G->H"", ""rt"": 4013}]"
participant_105,LBXQQ,LCXQQ,LCCQQ,59572,False,4521,"[{""rule"": ""X->B"", ""rt"": 4307}, {""rule"": ""B->C"", ""rt"": 25969}]"
participant_105,XVMKM,XFMKM,XVMVM,87290,False,2902,"[{""rule"": ""K->F"", ""rt"": 5970}, {""rule"": ""F->V"", ""rt"": 45552}]"
participant_105,NVNWV,NPNWP,NPNWP,46947,True,0,"[{""rule"": ""V->P"", ""rt"": 12399}]"
participant_105,XTZZNX,DCZZDD,DCZZDD,90161,True,5564,"[{""rule"": ""X->N"", ""rt"": 12083}, {""rule"": ""T->C"", ""rt"": 9806}, {""rule"": ""N->D"", ""rt"": 23601}]"
participant_106,JPPVV,JPPDD,JPPDD,28006,True,0,"[{""rule"": ""V->D"", ""rt"": 3788}]"
participant_106,CMRMH,CQRQH,CCRCH,28131,False,16568,"[{""rule"": ""M->Q"", ""rt"": 1827}, {""rule"": ""Q->C"", ""rt"": 6239}]"
participant_106,FFZWH,FFWDH,FFDDH,26345,False,5047,"[{""rule"": ""Z->W"", ""rt"": 8437}, {""rule"": ""W->D"", ""rt"": 3590}]"
participant_106,JVDDVL,JDVVDL,YYGGYL,43180,False,2802,"[{""rule"": ""J->V"", ""rt"": 12539}, {""rule"": ""D->G"", ""rt"": 2626}, {""rule"": ""V->Y"", ""rt"": 2826}]"
participant_106,SSJVHB,SSKJPB,SSKKPB,61118,False,2673,"[{""rule"": ""V->J"", ""rt"": 5104}, {""rule"": ""H->P"", ""rt"": 1994}, {""rule"": ""J->K"", ""rt"": 3420}]"
participant_106,WDSFVM,WYSQVD,WYSQVY,63714,False,2635,"[{""rule"": ""M->D"", ""rt"": 2309}, {""rule"": ""F->Q"", ""rt"": 2406}, {""rule"": ""D->Y"", ""rt"": 2497}]"
participant_106,RDBBVGK,RLBBVKK,RKBBVKK,65083,False,2445,"[{""rule"": ""D->L"", ""rt"": 3284}, {""rule"": ""L->G"", ""rt"": 2708}, {""rule"": ""G->K"", ""rt"": 3327}]"
participant_106,FCNYVPS,FCNSVPS,FCNFVPF,41305,False,1695,"[{""rule"": ""Y->S"", ""rt"": 7582}, {""rule"": ""S->H"", ""rt"": 692}, {""rule"": ""H->F"", ""rt"": 647}]"
participant_108,TPVXDM,SPSXSM,NPSXSM,40505,False,1425,"[{""rule"": ""D->V"", ""rt"": 5179}, {""rule"": ""T->N"", ""rt"": 7145}, {""rule"": ""V->S"", ""rt"": 6334}]"
participant_108,XPCQZXM,PPPQZPM,PPPQZPM,64549,True,976,"[{""rule"": ""C->W"", ""rt"": 6309}, {""rule"": ""W->X"", ""rt"": 9135}, {""rule"": ""X->P"", ""rt"": 7717}]"
participant_108,GBVRVF,WBHWHF,WBHWHF,47228,True,2770,"[{""rule"": ""G->R"", ""rt"": 5116}, {""rule"": ""V->H"", ""rt"": 6701}, {""rule"": ""R->W"", ""rt"": 7493}]"
participant_108,ZMVKRTB,TMVTRTB,TMVTRTB,63193,True,4544,"[{""rule"": ""Z->K"", ""rt"": 9616}, {""rule"": ""K->Q"", ""rt"": 8816}, {""rule"": ""Q->T"", ""rt"": 8963}]"
participant_108,HLSLV,HQSQQ,HQSQQ,518912,True,3741,"[{""rule"": ""V->L"", ""rt"": 24842}, {""rule"": ""L->Q"", ""rt"": 53449}]"
participant_108,KXQZK,QXQZQ,QXQZQ,101033,True,8531,"[{""rule"": ""K->T"", ""rt"": 5738}, {""rule"": ""T->Q"", ""rt"": 45376}]"
participant_108,LPLWW,LPLHH,LPLHH,33606,True,0,"[{""rule"": ""W->H"", ""rt"": 9201}]"
participant_108,DHSSDQ,BMMMBQ,BMMMBQ,61834,True,16290,"[{""rule"": ""H->S"", ""rt"": 9678}, {""rule"": ""D->B"", ""rt"": 8324}, {""rule"": ""S->M"", ""rt"": 9775}]"
participant_109,RLTRL,SLEA,RSTRS,12490,False,0,"[{""rule"": ""L->S"", ""rt"": 1839}]"
participant_109,BWWLM,BWWLT,BWWWM,14977,False,2514,"[{""rule"": ""L->T"", ""rt"": 608}, {""rule"": ""T->W"", ""rt"": 3513}]"
participant_109,JDDLN,JDDDL,JGGGN,17161,False,917,"[{""rule"": ""L->D"", ""rt"": 1221}, {""rule"": ""D->G"", ""rt"": 1069}]"
participant_109,PBSPVV,PSSPVB,TBFTFF,22857,False,1159,"[{""rule"": ""V->S"", ""rt"": 1183}, {""rule"": ""P->T"", ""rt"": 646}, {""rule"": ""S->F"", ""rt"": 940}]"
participant_109,BCCMFR,NCVNFR,NVVMNR,31536,False,736,"[{""rule"": ""B->F"", ""rt"": 3374}, {""rule"": ""C->V"", ""rt"": 8126}, {""rule"": ""F->N"", ""rt"": 7694}]"
participant_109,QXWZCF,QXWZCF,GXWMMF,12927,False,641,"[{""rule"": ""Z->C"", ""rt"": 337}, {""rule"": ""Q->G"", ""rt"": 438}, {""rule"": ""C->M"", ""rt"": 1142}]"
participant_109,DZYXVSZ,DXYBCXZ,DZSXSSZ,12287,False,588,"[{""rule"": ""Y->H"", ""rt"": 237}, {""rule"": ""H->V"", ""rt"": 417}, {""rule"": ""V->S"", ""rt"": 221}]"
participant_109,PJMKQTF,BTYUCE,TJMTQTF,8304,False,290,"[{""rule"": ""P->K"", ""rt"": 461}, {""rule"": ""K->B"", ""rt"": 435}, {""rule"": ""B->T"", ""rt"": 596}]"
participant_11,KXBQRVP,QRBXRVR,QQBQRVP,67572,False,15986,"[{""rule"": ""K->X"", ""rt"": 16752}, {""rule"": ""X->T"", ""rt"": 5840}, {""rule"": ""T->Q"", ""rt"": 6202}]"
participant_11,MSPNQNX,NMPYQSS,MMPMQMX,63581,False,1978,"[{""rule"": ""N->Y"", ""rt"": 14152}, {""rule"": ""Y->S"", ""rt"": 9976}, {""rule"": ""S->M"", ""rt"": 5598}]"
participant_11,LFRNCW,LGRFQW,LGQNGW,69409,False,5379,"[{""rule"": ""C->F"", ""rt"": 18607}, {""rule"": ""R->Q"", ""rt"": 14127}, {""rule"": ""F->G"", ""rt"": 10940}]"
participant_11,NCWDKK,GCWQQQ,GCWQQQ,37353,True,2434,"[{""rule"": ""D->K"", ""rt"": 9096}, {""rule"": ""N->G"", ""rt"": 6059}, {""rule"": ""K->Q"", ""rt"": 9613}]"
participant_11,ZPKDZK,ZGKGPP,ZXXGZX,83931,False,9107,"[{""rule"": ""K->P"", ""rt"": 21709}, {""rule"": ""D->G"", ""rt"": 10610}, {""rule"": ""P->X"", ""rt"": 14952}]"
participant_11,LHQHW,LQWWW,LWQWW,76915,False,103751,"[{""rule"": ""H->J"", ""rt"": 14600}, {""rule"": ""J->W"", ""rt"": 25737}]"
participant_11,LWLBB,LTLBB,LTLBB,27482,True,0,"[{""rule"": ""W->T"", ""rt"": 10717}]"
participant_11,VCDVJ,VBBVJ,VBBVJ,49354,True,3013,"[{""rule"": ""C->D"", ""rt"": 16181}, {""rule"": ""D->B"", ""rt"": 16608}]"
participant_110,YKKYJ,DDDJA,DKKDJ,46290,False,0,"[{""rule"": ""Y->D"", ""rt"": 28638}]"
participant_110,YVHQV,CQHQV,YVYQV,23802,False,3058,"[{""rule"": ""H->C"", ""rt"": 1836}, {""rule"": ""C->Y"", ""rt"": 3186}]"
participant_110,MTLTG,MTLTG,MTSTS,14471,False,5041,"[{""rule"": ""L->G"", ""rt"": 2605}, {""rule"": ""G->S"", ""rt"": 2653}]"
participant_110,DXDYBY,DDYBY,MMMYQY,32754,False,12552,"[{""rule"": ""D->X"", ""rt"": 3319}, {""rule"": ""B->Q"", ""rt"": 1938}, {""rule"": ""X->M"", ""rt"": 3355}]"
participant_110,XLCFQL,XGLQC,XBCGBB,27333,False,10543,"[{""rule"": ""L->Q"", ""rt"": 7925}, {""rule"": ""F->G"", ""rt"": 1038}, {""rule"": ""Q->B"", ""rt"": 1587}]"
participant_110,NPSRZJ,NXSRZP,QXSRZX,25266,False,17738,"[{""rule"": ""J->P"", ""rt"": 4456}, {""rule"": ""N->Q"", ""rt"": 1720}, {""rule"": ""P->X"", ""rt"": 1971}]"
participant_110,YWBFPRP,YWBRPRP,YWBBBRB,15750,False,3956,"[{""rule"": ""P->C"", ""rt"": 638}, {""rule"": ""C->F"", ""rt"": 190}, {""rule"": ""F->B"", ""rt"": 603}]"
participant_110,QXBMGYT,QBTXFG,QXQMGYQ,10002,False,3482,"[{""rule"": ""B->T"", ""rt"": 1088}, {""rule"": ""T->J"", ""rt"": 601}, {""rule"": ""J->Q"", ""rt"": 353}]"
participant_111,YJFRRGS,YJFJJGJS,YJFJJGJ,47550,False,540,"[{""rule"": ""S->D"", ""rt"": 7426}, {""rule"": ""D->R"", ""rt"": 8190}, {""rule"": ""R->J"", ""rt"": 8695}]"
